Municipality,Soy Production 2020
Cuatro Cañadas,641371
Pailón,524957
San Julián,372924
Mineros,249522
San Pedro,230571
Santa Rosa del Sara,173198
San José,146074
Okinawa Uno,74331
Cabezas,71902
San Juan,68206
El Puente (SC),4187
Fernández Alonso,40633
Yapacaní,32976
Charagua Iyambae,24343
San Ignacio de Velasco,23359
Cotoca,17804
La Guardia,14428
Warnes,11717
Ascención de Guarayos,11315
General Saavedra,7081
Portachuelo,4617
San Carlos,3845
Santa Cruz de la Sierra,3167
El Torno,2947
Lagunillas,2899
Buena Vista,681
Kereimba Iyaambae,479
San Antonio de Lomerio,236
Camiri,13
Yacuiba,18107
Caraparí,2263
Villa Montes,1028
Entre Ríos (TA),596
San Andrés,6013
San Javier (BE),3327
Huacaraje,88
Rurrenabaque,25
San Borja,6
Macharetí,158
El Villar,23
Villa Vaca Guzmán (Muyupampa),15
Monteagudo,14
Huacareta,10
Padilla,8
Culpina,7
Entre Ríos (Bulo Bulo),185
Villa Tunari,3
Cocapata,2
Ixiamas,12
Inquisivi,2
Alto Beni,2
Irupana,1
