Municipality,Soy Production 2021
Cuatro Cañadas,752941
Pailón,616276
San Julián,437796
Mineros,292928
San Pedro,27068
Santa Rosa del Sara,203327
San José,171484
Okinawa Uno,87262
Cabezas,8441
San Juan,8007
El Puente (SC),49154
Fernández Alonso,47701
Yapacaní,38712
Charagua Iyambae,28578
San Ignacio de Velasco,27422
Cotoca,20901
La Guardia,16938
Warnes,13755
Ascención de Guarayos,13283
General Saavedra,8313
Portachuelo,542
San Carlos,4514
Santa Cruz de la Sierra,3718
El Torno,346
Lagunillas,3403
Buena Vista,799
Kereimba Iyaambae,562
San Antonio de Lomerio,277
Camiri,15
Yacuiba,17934
Caraparí,2241
Villa Montes,1018
Entre Ríos (TA),590
San Andrés,7541
San Javier (BE),4173
Huacaraje,110
Rurrenabaque,31
San Borja,7
Macharetí,153
El Villar,22
Villa Vaca Guzmán (Muyupampa),14
Monteagudo,13
Huacareta,9
Padilla,8
Culpina,7
Entre Ríos (Bulo Bulo),177
Villa Tunari,3
Cocapata,2
Ixiamas,12
Alto Beni,2
Irupana,1
Inquisivi,1
