Municipality,Soy Production 2023
Cuatro Cañadas,811959
Pailón,664582
San Julián,472112
Mineros,315889
San Pedro,291897
Santa Rosa del Sara,219265
San José,184925
Okinawa Uno,94102
Cabezas,91026
San Juan,86347
El Puente (SC),53007
Fernández Alonso,5144
Yapacaní,41747
Charagua Iyambae,30818
San Ignacio de Velasco,29571
Cotoca,22539
La Guardia,18265
Warnes,14833
Ascención de Guarayos,14324
General Saavedra,8964
Portachuelo,5845
San Carlos,4867
Santa Cruz de la Sierra,401
El Torno,3731
Lagunillas,3669
Buena Vista,862
Kereimba Iyaambae,606
San Antonio de Lomerio,299
Camiri,17
Yacuiba,79224
Caraparí,9899
Villa Montes,4496
Entre Ríos (TA),2606
San Andrés,20527
San Javier (BE),11358
Huacaraje,301
Rurrenabaque,85
San Borja,20
Macharetí,165
El Villar,24
Villa Vaca Guzmán (Muyupampa),15
Monteagudo,14
Huacareta,10
Padilla,8
Culpina,8
Entre Ríos (Bulo Bulo),168
Cocapata,2
Villa Tunari,2
Ixiamas,12
Alto Beni,2
Inquisivi,1
Irupana,1
