Municipality,Soy Production 2019
Cuatro Cañadas,677634
Pailón,554638
San Julián,394009
Mineros,26363
San Pedro,243607
Santa Rosa del Sara,182991
San José,154333
Okinawa Uno,78534
Cabezas,75967
San Juan,72062
El Puente (SC),44238
Fernández Alonso,4293
Yapacaní,3484
Charagua Iyambae,25719
San Ignacio de Velasco,24679
Cotoca,1881
La Guardia,15244
Warnes,12379
Ascención de Guarayos,11954
General Saavedra,7481
Portachuelo,4878
San Carlos,4062
Santa Cruz de la Sierra,3347
El Torno,3114
Lagunillas,3062
Buena Vista,719
Kereimba Iyaambae,506
San Antonio de Lomerio,249
Camiri,14
Yacuiba,19152
Caraparí,2393
Villa Montes,1087
Entre Ríos (TA),630
San Andrés,7333
San Javier (BE),4058
Huacaraje,107
Rurrenabaque,30
San Borja,7
Macharetí,184
El Villar,27
Villa Vaca Guzmán (Muyupampa),17
Monteagudo,16
Huacareta,11
Padilla,9
Culpina,9
Entre Ríos (Bulo Bulo),124
Villa Tunari,2
Cocapata,1
Ixiamas,11
Alto Beni,2
Irupana,1
Inquisivi,1
